sample_id,image_path,orig_label,orig_label_2,split,label,label_id,confidence,reason,source
ollama_train_hap_000000,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-1240-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and a large, open composition, indicating a happy emotion.",ollama_7b
ollama_train_hap_000001,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-1298-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and a large, central figure, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000002,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-141-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and a large group of figures, indicating a positive and joyful scene.",ollama_7b
ollama_train_hap_000003,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-1543-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling face, and a large central figure, indicating a happy emotion.",ollama_7b
ollama_train_hap_000004,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-331-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"Bright colors, smiling faces, and large figures dominate the drawing, indicating a happy emotion.",ollama_7b
ollama_train_hap_000005,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-418-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright yellow and red colors, a smiling face, and large figures, indicating a happy emotion.",ollama_7b
ollama_train_hap_000006,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-430-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling face, and a sun, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000007,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-532-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling sun, and large figures, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000008,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-544-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling face, and a large kite, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000009,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-606-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and large figures, indicating a happy emotion.",ollama_7b
ollama_train_hap_000010,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-619-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling face, and a large figure, all of which are indicative of happiness.",ollama_7b
ollama_train_hap_000011,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-649-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and a large sun, indicating a happy emotion.",ollama_7b
ollama_train_hap_000012,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-655-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"Bright colors, smiling faces, and large figures dominate the drawing, indicating a happy emotion.",ollama_7b
ollama_train_hap_000013,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-690-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and a large group of figures, indicating a positive and joyful scene.",ollama_7b
ollama_train_hap_000014,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-71-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling sun, and large figures, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000015,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-745-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, a sun, and large figures, all of which are strong indicators of happiness.",ollama_7b
ollama_train_hap_000016,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-875-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling sun, and large figures, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000017,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1B-48-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling face, and a large figure, indicating a positive emotion.",ollama_7b
ollama_train_hap_000018,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1B-482-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling sun, and large figures, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000019,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1B-51-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling sun, and large figures, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000020,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1B-676-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling face, and a large figure, indicating a positive emotion.",ollama_7b
ollama_train_hap_000021,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1B-711-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, a sun, flowers, and large figures, all of which are indicative of a happy emotion.",ollama_7b
ollama_train_hap_000022,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1B-744-M-H.jpg,Happiness,Happy,train,Sad,1.0,0.95,"The drawing features cool/dark colors, small drooping figures, and an isolated element, which are indicative of sadness.",ollama_7b
ollama_train_hap_000023,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-103-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and a sun, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000024,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-1061-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling face, and a sun, indicating a happy emotion.",ollama_7b
ollama_train_hap_000025,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-1172-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"Bright colors, smiling faces, and large figures indicate a happy emotion in the drawing.",ollama_7b
ollama_train_hap_000026,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-1177-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, a sun, flowers, and large figures, all of which are strong indicators of happiness.",ollama_7b
ollama_train_hap_000027,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-206-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and a sun, indicating a happy emotion.",ollama_7b
ollama_train_hap_000028,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-222-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and large figures, all of which are indicative of a happy emotion.",ollama_7b
ollama_train_hap_000029,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-249-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling face, and a large figure, indicating a positive emotion.",ollama_7b
ollama_train_hap_000030,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-275-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"Bright colors, smiling faces, and a sun indicate a happy emotion in this drawing.",ollama_7b
ollama_train_hap_000031,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-277-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling face, and a sun, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000032,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-341-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, a sun, and large figures, all of which are strong indicators of happiness.",ollama_7b
ollama_train_hap_000033,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-347-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling sun, and large figures, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000034,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-521-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and large figures, indicating a positive and joyful emotion.",ollama_7b
ollama_train_hap_000035,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-524-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and a wide composition, indicating a happy emotion.",ollama_7b
ollama_train_hap_000036,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-535-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling face, and a large figure, indicating a positive emotion.",ollama_7b
ollama_train_hap_000037,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-557-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"Bright colors, smiling faces, and flowers indicate a happy emotion in the drawing.",ollama_7b
ollama_train_hap_000038,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-58-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling face, and a large figure, indicating a happy emotion.",ollama_7b
ollama_train_hap_000039,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-600-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, a sun, and flowers, all of which are strong indicators of happiness.",ollama_7b
ollama_train_hap_000040,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-605-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, flowers, and a smiling face, indicating a happy emotion.",ollama_7b
ollama_train_hap_000041,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-656-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and large figures, indicating a happy emotion.",ollama_7b
ollama_train_hap_000042,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-730-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and large figures, indicating a positive and joyful emotion.",ollama_7b
ollama_train_hap_000043,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-757-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.9,"The drawing features bright colors, smiling faces, and a large figure, indicating a happy emotion.",ollama_7b
ollama_train_hap_000044,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-91-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and a large heart, indicating a positive and joyful emotion.",ollama_7b
ollama_train_hap_000045,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-1124-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and large figures, indicating a positive emotion.",ollama_7b
ollama_train_hap_000046,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-1162-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and a large central figure, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000047,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-1176-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling sun, and large figures, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000048,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-1230-M-H.jpg,Happiness,Happy,train,Sad,1.0,0.9,"The drawing features cool/dark colors, a small drooping figure, and an isolated element, which align with the characteristics of sadness in children's drawings.",ollama_7b
ollama_train_hap_000049,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-198-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling sun, and large figures, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000050,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-286-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling sun, and large figures, indicating a happy mood.",ollama_7b
ollama_train_hap_000051,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-287-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling sun, and a large rainbow, all of which are indicative of a happy emotion.",ollama_7b
ollama_train_hap_000052,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-360-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, a sun, and large figures, all of which are strong indicators of happiness.",ollama_7b
ollama_train_hap_000053,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-361-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling sun, and large, cheerful figures, indicating a happy emotion.",ollama_7b
ollama_train_hap_000054,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-470-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling face, and a large figure, indicating a positive emotion.",ollama_7b
ollama_train_hap_000055,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-496-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.9,"The drawing features bright colors, a smiling sun, and a large figure, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000056,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-556-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling sun, and large figures, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000057,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-581-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, a sun, and flowers, all of which are strong indicators of happiness in children's drawings.",ollama_7b
ollama_train_hap_000058,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-624-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing uses bright colors and includes smiling faces, which are strong indicators of happiness.",ollama_7b
ollama_train_hap_000059,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-625-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling sun, and large figures, indicating a positive and cheerful mood.",ollama_7b
ollama_train_hap_000060,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-662-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling face, and a large figure, indicating a happy emotion.",ollama_7b
ollama_train_hap_000061,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-671-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and a large, cheerful composition, indicating a happy emotion.",ollama_7b
ollama_train_hap_000062,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-672-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.9,"The drawing features bright colors and smiling faces, indicating a positive emotion.",ollama_7b
ollama_train_hap_000063,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-687-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and a large, cheerful sun, indicating a happy emotion.",ollama_7b
ollama_train_hap_000064,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-853-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, a sun, and large figures, all of which are indicative of a happy emotion.",ollama_7b
ollama_train_hap_000065,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1D-96-M-H.jpg,Happiness,Happy,train,Sad,1.0,0.9,"The drawing features cool/dark colors and an isolated element, which aligns with the characteristics of sadness.",ollama_7b
ollama_train_hap_000066,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1E-1088-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling sun, and a large, vibrant rainbow, all of which are strong indicators of happiness in children's drawings.",ollama_7b
ollama_train_hap_000067,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1E-1153-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, and a large, cheerful composition, indicating a happy emotion.",ollama_7b
ollama_train_hap_000068,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1E-1272-M-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, smiling faces, a sun, and a large group of figures, all of which are indicative of a happy emotion.",ollama_7b
ollama_train_hap_000069,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1E-151-F-H.jpg,Happiness,Happy,train,Happy,0.0,0.95,"The drawing features bright colors, a smiling face, and a large figure, indicating a happy emotion.",ollama_7b
